Year,Western champion,Result,Eastern champion,Finals MVP[a],West Result,East Result,NBA Champion
2013,San Antonio Spurs,3–4,Miami Heat,LeBron James,3,4,Miami Heat
2014,San Antonio Spurs,4–1,Miami Heat,Kawhi Leonard,4,1,San Antonio Spurs
2015,Golden State Warriors,4–2,Cleveland Cavaliers,Andre Iguodala,4,2,Golden State Warriors
2016,Golden State Warriors,3–4,Cleveland Cavaliers,LeBron James,3,4,Cleveland Cavaliers
2017,Golden State Warriors,4–1,Cleveland Cavaliers,Kevin Durant,4,1,Golden State Warriors
2018,Golden State Warriors,4–0,Cleveland Cavaliers,Kevin Durant,4,0,Golden State Warriors
2019,Golden State Warriors,2–4,Toronto Raptors,Kawhi Leonard,2,4,Toronto Raptors
2020,Los Angeles Lakers,4–2,Miami Heat,LeBron James,4,2,Los Angeles Lakers
2021,Phoenix Suns,2–4,Milwaukee Bucks,Giannis Antetokounmpo,2,4,Milwaukee Bucks
2022,Golden State Warriors,4–2,Boston Celtics,Stephen Curry,4,2,Golden State Warriors
2023,Denver Nuggets,4–1,Miami Heat,Nikola Jokić,4,1,Denver Nuggets
